"communityname","state","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctKidsBornNeverMar","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccMedVal","RentMedian","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","murdPerPop","rapesPerPop","robbbPerPop","assaultPerPop","burglPerPop","larcPerPop","autoTheftPerPop","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop","rip","midwest","south","northeast","west"
"Brawleycity","CA",4,18923,3.27,2.48,72.5,1.15,69.1,17.07,29.52,14.1,8.05,0,22365,77.7,2.03,19.91,23.34,19.49,12.54,23896,10105,8318,5295,13179,7222,6396,24.31,31.14,48.61,9.96,14.81,51.15,7.29,22.59,15.35,20.24,8.92,32.08,12.86,3.71,68.15,63.46,73.53,74.49,46.27,51.42,5.49,10.68,15.57,24.56,33.09,2.55,3.72,5.86,7.9,34.87,14.8,13.95,10.98,3.23,3.27,3.2,49.89,20.79,56.56,2,333,94.56,49.35,4.5,29.43,1964,8.46,2.47,73200,285,364,26.6,21,12.4,0,8,23.86,60.05,52.49,85.86,92.43,5.1,3675.8,0.7,4.56,18.23,173.22,793.18,1992.07,3455.35,355.56,72.94,989.19,5875.92,4,0,0,0,1
"Oregoncity","OH",4,18334,2.67,1.11,96.77,0.52,3.41,14.69,25.82,13.07,13.19,100,34704,74.67,0.92,42.67,28.51,6.42,21.69,39483,14448,10061,19869,35889,13138,11051,7.67,8.25,24.14,11.26,6.57,59.01,20.35,24.02,18.26,19.44,8.8,26.98,9.79,3.11,79.91,76.92,85.74,85.41,67.06,69.47,1.36,1.05,2.52,7.98,7.98,0.03,0.07,0.21,0.21,93.29,0.66,3.92,2.86,2.62,2.86,1.99,78.71,1.37,39.16,3,401,94.48,72.01,1.5,35.91,1963,1.4,0.29,72300,324,412,23.3,16.8,13.2,0,0,2.6,80.99,62.66,87.31,93.9,30.2,606.1,0.18,0,38.13,185.23,179.78,730.01,4134.89,528.44,38.13,403.14,5431.47,1,1,0,0,0
"Freeportcity","TX",4,11389,3.01,15.27,62.22,0.28,38.59,16.36,28.62,13.74,8.53,0,21483,76.88,0.18,25.76,23.82,9.91,11.61,24317,10592,6094,24450,0,5951,6171,24.2,21.4,41.9,6.41,9.57,57.57,24.98,14.4,22.65,11.74,12.02,26.31,14.01,3.51,73.62,67.21,81.26,75.79,39.94,52.4,3.51,6.47,17.51,24.29,34.86,0.72,1.95,2.7,3.88,68.07,6.47,11.2,8.47,3,3.04,2.96,57.73,14.22,60.27,2,1045,78.39,57.07,9.76,49.76,1959,19.83,1.51,35800,259,333,25,18.4,14,5,0,11.15,67.55,47.24,85.93,94.67,11.9,959,0.14,0,8.11,89.26,494.97,1135.99,3334.96,681.6,48.69,592.34,5201.24,2,0,1,0,0
"Edwardsvillecity","IL",4,14579,2.54,7.31,91.15,1.17,0.77,12.29,25.91,12.75,13.53,100,32733,76.41,1.56,56.65,28.21,3.92,19.51,41694,15552,11698,1695,19525,49916,10128,9,7.85,15.12,33.78,4.28,61.6,17.59,32.86,10.74,37.53,7.99,30.3,10.37,2.98,80.26,78.42,96.42,80.18,57.74,69.23,1.72,25,53.08,54.79,60.96,0.5,1.06,1.1,1.22,96.5,0.28,2.92,2.04,2.43,2.58,2.08,74.63,1.31,50.73,2,373,93.89,70.29,1.07,32.71,1958,1.74,0.56,65100,356,435,25,19,12.7,0,0,2,64.89,51.66,81.05,87.93,9,1612.7,0.64,6.56,51.88,45.95,157.54,577.66,2599.45,105.03,13.13,261.93,3295.27,1,1,0,0,0
"Penntownship","PA",4,15945,2.91,0.46,99.05,0.4,0.37,14.04,22.68,10.94,11.43,69.81,33219,78.64,0.94,54.61,29.17,3.73,19.78,36886,13614,3824,0,14722,0,3976,3.75,7.78,17.69,21.02,5.87,60.26,20.25,24.88,12.97,29.2,4.17,23.49,5.74,3.22,90.78,89.08,99.22,90.33,49.27,63.46,0.71,0,0,0,0,0,0,0,0,97.39,0.49,3.43,2.9,2.91,2.95,2.5,92.24,0.67,21.65,3,154,97.27,91,1.95,63.64,1966,0.22,0.37,69900,288,382,22,19.4,12.7,0,0,1.18,88.92,73.39,86.03,96.98,31.4,507.3,0.62,0,42.17,42.17,16.87,497.64,2791.84,151.82,59.04,101.21,3500.34,3,0,0,1,0
"LowerMorelandtownship","PA",4,11768,2.83,0.31,96.46,3.2,0.67,14.27,22.89,12.33,13.59,100,60925,75.13,0.63,69.88,29.06,2.54,15.96,69743,30510,4604,0,18662,0,8131,2.33,2.44,8.97,40.45,2.72,61.62,12.5,33.17,5.16,45.76,2.94,26.63,4.8,3.19,91.05,90.27,98.36,90.79,56.41,61.54,0.2,7.03,9.24,11.65,15.59,0.62,0.82,1.03,1.38,88.61,1.47,4.24,3.49,2.83,2.98,1.71,92.86,0.67,14.9,4,89,97.9,88.16,0,22.47,1964,0.19,0.12,220600,412,424,27.6,19.1,11.8,0,0,8.83,77.78,74.33,81.71,96.01,7.5,1561.2,5.31,0,8.36,25.07,50.14,459.6,1311.94,325.9,8.36,83.57,2105.8,3,0,0,1,0
"Manheimtownship","PA",4,28880,2.71,1.06,96.63,1.81,1.04,11.14,19.25,9.09,17.05,90.75,41450,77.48,1.44,64.29,29.92,2.79,19.62,46682,19965,11252,10654,13279,7150,9682,2.42,7.27,17.21,32.56,2.34,62.04,24.13,26.49,11.39,35.92,5.69,20.84,7.68,2.97,86.51,85.53,93.27,86.04,56.35,68.51,0.75,7.65,11.53,27.76,32.96,0.26,0.39,0.94,1.12,93.05,0.68,2.75,2.08,2.55,2.7,2.14,77.84,0.7,26.11,3,353,96.79,73.57,0,32.58,1966,0.47,0.17,112900,487,555,22.2,20.7,11.7,0,0,3.39,72.61,56.23,82.27,89.2,24.9,1162.1,1.29,0,3.4,61.28,61.28,333.63,2505.62,146.39,10.21,125.96,2995.85,3,0,0,1,0
"SanBernardinocity","CA",4,164164,3.01,16.01,60.64,4,34.57,14.78,30.37,14.56,9,100,25533,73.63,0.33,27.88,23.34,17.98,15.9,28843,13068,7947,8925,7815,6887,7167,22.79,12.54,31.91,12.71,10.69,54.27,12.3,24.82,15.67,20.9,13.11,34.9,17.73,3.43,61.49,55.92,65.33,64.98,46.31,55.83,7.94,21.04,33.97,46.12,57.21,3.25,5.25,7.13,8.85,70.98,8.34,11.74,8.42,2.9,2.84,2.97,51.21,14.54,60.73,2,4322,92.65,52.25,10.55,26.26,1963,7.95,0.44,96200,422,485,32.1,22.9,11.5,828,133,15.47,51.89,40.1,72.08,88.19,57.1,2876.8,1.72,44.9,70.63,848.7,2083.42,2595.38,4604.89,1968.99,78.85,3047.65,9248.11,4,0,0,0,1
"WestHollywoodcity","CA",4,36118,1.6,3.42,90.18,3.1,8.73,4.58,23.07,7.61,15.91,100,29314,72.18,0.72,37.2,19.97,8.39,7.08,33657,24865,17011,14994,30141,12943,15233,11.43,6,15.06,37.43,7.04,65.31,8.79,22.73,4.68,46.12,12.89,58.3,18.64,2.53,67.66,66.33,77.34,67.96,59.96,63.96,3.51,21.28,26.62,32.2,42.24,7.23,9.05,10.95,14.36,66.8,7.53,1.87,0.48,1.58,1.61,1.58,22.62,4.88,95.34,1,1253,94.74,22.28,0.88,20.99,1959,0.89,0.28,351700,573,608,28.3,31.7,12.3,14,142,34.01,20.21,42.21,74.82,79.36,1.9,18541.1,5.98,14.44,75.11,1401.09,1016.87,1949.97,5309.68,2510.4,57.78,2507.51,9827.83,4,0,0,0,1
"Rochestercity","NY",4,231636,2.47,31.53,61.09,1.76,8.66,13.87,31.43,15.28,10.4,100,22785,72.54,0.33,34.45,24.83,16.52,14.6,27675,14210,8073,9619,7261,5648,5967,23.5,11.03,31.21,18.99,8.8,57.84,24.75,29.63,16.58,24.85,13.21,45.78,16.76,3.14,46.1,42.05,49.89,46.18,56.1,63.2,14.34,14.87,21.55,29.58,38.06,0.93,1.34,1.84,2.37,85.82,2.55,6.99,3.94,2.37,2.61,2.18,48.42,2.93,53.97,2,7547,92.54,44,9.51,32.68,1939,7.79,0.53,65200,377,442,32.3,22.1,15.7,294,1,6.23,69.01,45.53,85.12,91.51,37.1,6248.1,10.77,27.74,68.91,709.86,365.33,2747.57,5860.05,1280.18,150.81,1171.84,10038.61,3,0,0,1,0
"Normancity","OK",4,80071,2.51,3.57,87.49,3.21,2.38,20.19,37.58,23.27,7.38,92.66,25165,83.87,1.7,41.84,16.19,3.22,11.83,35332,14273,9287,10750,8095,8081,8995,15.04,4.16,12.86,38.05,6.05,63.66,8.64,36.73,8.96,35.72,8.99,40.25,13.35,2.98,75.6,73.94,82.88,76.41,61.9,72.12,1.3,33.29,46.78,56.23,63.51,1.44,2.02,2.43,2.75,93.39,0.71,3.03,1.85,2.34,2.61,2.06,56.93,2.39,50.93,2,3743,89.5,51.04,3.74,41.89,1973,4.9,0.19,65600,294,362,28.9,19.3,12.1,32,0,4.32,58.2,36.91,62.73,85.64,183.4,436.6,1.22,2.28,38.71,43.27,145.74,1184.17,3426.13,343.87,11.39,230,4965.56,2,0,1,0,0
"TheColonycity","TX",4,22113,3.27,4.77,88.62,1.76,8.61,13.48,27.89,9.82,1.74,0,42743,95.62,0.24,36.73,6.38,1.33,5.44,43743,14592,11297,12010,10021,8619,9313,2.85,2.61,10.07,21.46,4.49,80.02,20.78,14.48,10.97,25.15,6.98,20.03,9.94,3.51,88.01,86.39,93.56,89.42,72.49,76.89,0.76,6.95,13.18,27.43,32.86,0.35,0.67,1.39,1.67,89.96,1.61,5.84,5.11,3.27,3.21,3.45,75.93,4.65,11.41,3,380,94.69,77.2,0.26,32.63,1980,1.41,0.08,70300,534,687,24.7,23.1,13.5,0,0,5.06,48.16,42.45,60.44,83.45,12.1,1825.7,0.48,0,3.71,18.54,118.64,622.85,1953.81,159.42,92.69,140.89,2828.77,2,0,1,0,0
"Gladstonecity","OR",4,10152,2.76,0.46,95.69,2.24,2.12,15.35,24.68,11.85,11.46,100,32069,79.65,0.21,50.03,25.9,2.63,17.56,37832,14265,0,15883,13101,8600,11422,3.89,4.04,14.44,19.07,3.65,65.17,14.71,23.39,13.64,26.75,9.54,25.94,14.32,3.13,75.92,74.63,89.47,83.44,64.49,76.94,0.39,13.91,21.45,24.06,24.06,0.47,0.73,0.82,0.82,94.85,0.66,4.62,3.51,2.71,2.77,2.54,73.74,2.26,39.25,3,72,98.08,72.01,1.39,30.56,1969,1.99,0.61,74100,382,443,24.8,19.2,13.9,0,0,3.4,53.36,52.9,79.87,90.26,2.5,4003.2,3.54,0,45.5,81.89,154.69,900.82,3475.89,609.65,63.69,282.08,5050.05,4,0,0,0,1
"Lowellcity","MA",4,103439,2.79,2.39,81.07,11.11,10.15,15.34,32.56,16.73,10.69,100,29351,75.39,0.43,33.27,26.31,14.64,14.28,35138,14110,9497,9691,6619,5255,6311,17.99,16.6,34.21,15.51,10.68,58.39,29.49,23.48,17.96,22.9,9.04,42.34,12.51,3.3,62.75,58.43,68.03,62.77,55.5,64.18,5.62,15.37,32.65,53,64.97,2.53,5.36,8.71,10.68,67.9,6.99,8.41,5.6,2.68,2.85,2.56,44.59,6.65,57.63,2,3283,91.85,41.89,3.08,27.72,1944,5.04,1,131100,494,561,28.4,22.3,13.7,182,50,16.43,69.08,48.07,82.37,86.87,14.3,7247.1,2.95,6.21,50.74,312.7,904.97,2323.51,3236.76,2030.48,171.88,1274.62,7762.63,3,0,0,1,0
"LaPortecity","TX",4,27910,3.05,7.1,85.31,1.01,14.3,15.23,27.41,11.98,4.85,100,41733,90.09,1.12,35.05,14.4,4.01,9.89,45144,15061,9986,13138,12042,9575,9352,8.82,6.53,18.36,14.35,5.22,69.45,23.8,19.78,15.41,23.18,11.24,22.3,13.14,3.38,81.51,77.88,90.89,80.78,57.55,64.02,1.62,8.12,13.04,17.8,26.58,0.35,0.57,0.78,1.16,87.34,1.33,6.39,5.19,3.03,3.09,2.9,72.26,6.38,30.72,3,822,91.75,70.98,2.92,48.42,1975,4.82,0.58,56600,358,465,22.4,18.9,13,0,0,4.37,62.3,47.39,85.28,92.27,20,1397.2,0.05,3.17,69.83,47.61,263.46,577.7,1641.06,247.59,15.87,384.07,2482.22,2,0,1,0,0
"Victoriacity","TX",4,55076,2.78,7.94,76.92,0.41,37.85,15.02,27.08,12.76,10.34,100,25576,78.09,1.95,35.35,25.11,8.51,12.58,30757,14020,7328,7853,12904,6209,6751,18.88,15.17,29.31,15.79,6.83,60.19,14.15,23.39,13.38,23.27,10.08,25.84,13.76,3.28,73.92,68.49,83.88,73.54,58.93,64.34,2.58,9.52,13.46,21.34,40.03,0.31,0.43,0.69,1.29,70.92,3.86,6.81,5.02,2.75,2.83,2.64,59.81,7.56,47.59,3,2025,90.71,58.18,4.69,46.96,1969,10.44,0.57,54400,278,354,24.7,20,12.9,7,3,3.23,82.38,50.88,83.32,94.95,31.2,1765,0.1,6.48,34.02,132.85,759.83,1808.05,4939.73,398.55,34.02,933.18,7180.35,2,0,1,0,0
"Gainesvillecity","GA",4,17885,2.58,23.5,68.77,1.2,7.91,14.72,29.56,15.87,12.8,0,25689,75.98,0.83,36.53,29.49,8.46,11.03,32128,19018,6263,7671,12705,4581,5474,18.74,13.78,31.82,24.89,5.04,61.93,22.78,25.29,17.89,27.86,12.27,30.73,15.37,3.04,59.56,54.55,63.53,58.67,68.85,71.54,7.88,37.05,51.8,67.3,78.76,3.29,4.6,5.97,6.99,89.99,2.92,5.38,3.6,2.45,2.5,2.41,48.28,4.96,51.59,2,711,90.71,47.35,0.28,25.88,1968,9.96,0.23,92300,316,393,25.4,20.5,12.4,37,0,8.79,67.47,47,74.74,84.79,23.5,760.4,0.28,15.09,40.25,236.44,940.74,1121.84,5911.06,699.27,55.34,1232.52,7787.51,2,0,1,0,0
"Yarmouthtown","MA",4,21174,2.21,1.09,97.64,0.4,1.4,9.31,18.83,9.04,27.51,99.32,27222,59.82,0.46,48.95,47.46,6.95,31.07,33282,15241,4386,9932,6874,6679,7391,9.5,2.59,14.01,22.48,7.93,48.64,6.79,20.72,10.01,24.17,7.59,24.4,11.64,2.69,65.23,66.79,73.51,65.78,57.34,69.24,1.81,14.18,17.73,21.27,24.91,0.74,0.92,1.11,1.29,92.08,0.6,2.57,1.68,2.19,2.17,2.22,72.67,1.09,52.43,2,6319,60.29,73.11,0.22,57.9,1970,1.07,0.09,149400,598,716,33.4,24.3,14.3,12,0,5.19,68.43,53.71,79.49,89.32,25.1,842.7,0.84,0,40.09,40.09,365.24,1247.16,2636.85,249.43,31.18,445.42,4164.62,3,0,0,1,0
"Soloncity","OH",4,18548,2.93,3.37,93.69,2.75,0.46,13.47,21.37,10.2,9.66,100,54005,85.49,0.59,62.84,23.65,0.89,15.98,58426,22325,20352,3815,33388,17304,11889,2.48,3.26,11.44,38.03,2.32,67.82,21.64,24.39,5.86,41.65,4.49,23.37,6.49,3.26,90.43,90.46,97.18,91.39,47.61,63.55,0.46,1.44,3.07,6.14,9.3,0.08,0.17,0.35,0.52,90.65,0.77,3.72,3.11,2.92,3.07,2.03,90.14,0.32,16.48,3,260,96.06,85.79,0,26.15,1972,0.39,0,141500,550,610,22.9,20.7,13,0,0,5.62,67.75,57.81,80.47,88.02,21.2,877,0.66,0,0,24.32,34.05,243.19,1478.6,194.55,0,58.37,1916.34,1,1,0,0,0
"Davenportcity","IA",4,95333,2.56,7.89,89.13,1.05,3.46,14.14,27.75,13.47,11.3,99.68,26218,76.25,0.76,42.51,26.36,8,16.97,32611,13289,6604,7503,4966,7002,7627,15.59,7.16,21.19,20.14,6.51,61.58,17.62,22.98,16.81,24.95,10.16,30.8,13.35,3.08,68,65.35,71.42,72.26,63.89,69.95,5.04,18.06,26.83,34.88,38.67,0.44,0.66,0.86,0.95,94.69,0.83,4.64,3.12,2.5,2.65,2.25,64.98,1.99,48.98,3,3138,92.22,61.17,7.84,43.56,1956,4.27,0.31,48800,283,351,26.3,17.3,13.1,107,31,2.46,63.82,51.41,81.4,86.3,63.6,1499.7,1.06,4.11,66.73,297.71,1197,1885.84,5698.59,426.03,67.75,1565.55,8078.21,1,1,0,0,0
"Raleighcity","NC",4,207951,2.42,27.58,69.18,2.47,1.41,15.95,35.77,19.54,7.94,100,32451,86.08,1.07,45.56,17.63,4.07,11.01,42212,20106,9460,12321,11232,10005,13263,11.8,4.77,13.44,40.56,3.97,68.92,12.34,27.11,7.46,35.46,9.84,42.21,13.94,2.92,69.26,66.76,81.34,69.03,65.99,72.95,6.06,26.47,40.77,52.89,60.03,1.33,2.05,2.65,3.01,93.07,0.98,3.13,1.8,2.26,2.5,2.05,51.85,2.62,55.36,2,6821,92.64,46.88,1.06,22.25,1974,3.65,0.26,96600,394,479,24.6,22.1,12.6,215,2,5.02,56.1,36.91,65.43,80.42,91.3,2277.5,2.79,11.21,39.02,330.02,462.45,1223.37,3900.1,366.56,12.04,842.7,5502.07,2,0,1,0,0
"Rexburgcity","ID",4,14302,4.18,0.29,96,1.53,3.08,47.87,63.14,53.34,4.21,0,19183,87.83,4.73,42.09,14.65,3.97,6.77,23542,6688,2025,3736,2376,8241,6203,41.77,4.7,11.88,19.93,8.7,43.97,10.01,40.07,14.45,23.9,2.13,58.39,3.35,3.72,86.22,85.57,92.19,89.42,52.1,60.28,0.25,63.06,71.53,78.61,82.36,3.17,3.6,3.96,4.15,93.45,1.06,20.52,25.69,3.78,3.77,3.78,40.41,21.71,40.15,3,136,96.17,40.43,1.47,36.76,1973,4.56,0.08,69400,240,297,26.2,20.4,11.7,0,0,5.03,43.96,27.5,39.16,56.97,4.4,3247.5,0.5,0,6.72,0,47.01,302.22,3727.33,67.16,6.72,53.73,4103.43,4,0,0,0,1
"Camdencity","NJ",4,87492,3.29,56.42,19,1.32,31.17,17.6,31.78,15.89,7.72,100,17386,69.28,0.09,12.29,24.94,26.92,12.29,18874,9803,6965,66423,6441,5173,6003,36.56,20.02,50.33,6.44,16.3,46.1,19.29,27.65,24,13.89,13.69,51.26,18.62,3.71,32.86,26.62,31.47,33.55,45.56,54.73,24.19,25.7,35.54,46.97,58.47,1.01,1.4,1.84,2.3,69.67,7.12,16.47,11.93,3.15,3.15,3.15,48.4,15.24,48.76,3,3512,88.35,48.39,39.89,63.87,1945,20.8,1.76,31300,323,414,32.5,20.6,16.2,293,122,3.93,55.54,55.36,85.83,90.57,9.1,9575.4,18.34,50.42,108.05,1985.69,1386.62,4848.97,4713.31,2180.18,367.36,3530.78,12109.82,3,0,0,1,0
"Cranberrytownship","PA",4,14816,2.85,0.47,98.97,0.38,0.45,12.14,25.19,9.85,6.51,0,41006,87.65,0.72,51.97,17.65,1.84,12.32,43308,16438,36008,16000,10084,24000,27847,2.54,1.97,9.51,29.48,4.56,71.33,14.85,22.94,9.51,30.59,6.12,22.18,8.86,3.24,88.73,87.06,96.11,88.5,52.5,63.18,0.67,11.76,11.76,14.93,28.96,0.18,0.18,0.22,0.43,97.69,0.17,3.02,2.42,2.84,2.98,2.14,87.07,0.62,30.19,3,246,95.49,82.88,0.41,21.14,1978,0.52,0.4,86000,471,589,22.4,21.5,12.1,0,0,1.49,81.12,50.97,64.62,89.14,23.6,627.3,0.53,0,6.64,0,0,212.38,1221.21,159.29,0,6.64,1592.88,3,0,0,1,0
"ElMontecity","CA",4,106209,4.06,0.99,62.23,11.76,72.49,18.21,35.51,18.15,5.84,100,28034,82.36,0.43,18.42,17.57,15.41,10.32,28004,8292,8583,8605,9568,6704,6500,22.51,31.87,55.72,6.01,9.4,58.34,34.47,12.19,33.92,11.3,7.45,42.66,12.52,4.24,68.91,59.98,74.73,71.86,46.63,51.27,9.19,21.44,33.35,44.07,57.69,10.38,16.15,21.34,27.93,26.49,29.27,28.02,23.29,4,3.56,4.29,35.85,42.63,73.74,2,1036,96.19,40.21,4.44,29.25,1962,8.56,1.33,172100,541,600,30,26.7,11.7,287,152,48.42,40.11,45.15,82.83,85.56,9.8,10789.2,6.47,18.06,42.78,594.18,663.58,1290.08,2076.3,1139.87,70.35,1318.6,4576.6,4,0,0,0,1
"Hudsontown","NH",4,19530,2.95,0.56,97.98,1.05,1.08,13.76,28.51,12.74,5.8,69.47,47859,91.23,1.35,48.51,14.97,2.96,11.2,50714,17689,17833,27836,17248,10272,13422,2.89,5.18,14.96,24.8,6.71,75.22,31.96,16,12.79,32.36,7.1,27.48,9.52,3.23,85.12,83.41,90.82,89.78,70.57,78,1.31,10.99,17.36,23.63,28.02,0.51,0.81,1.1,1.31,90.95,0.64,4.02,3.24,2.92,3.03,2.59,77.77,1.57,36.47,3,272,96.06,74.92,1.47,30.15,1977,1.16,0.29,145000,636,772,26.1,25.5,14.2,0,0,4.66,35.48,51.27,72.21,74.4,29.3,666.9,0.4,0,30.4,15.2,45.6,339.5,1611.35,177.35,25.34,91.2,2153.54,3,0,0,1,0
"Austincity","TX",4,465622,2.42,12.43,70.56,3.04,22.95,16.73,35.98,19.84,6.63,100,25414,85.66,1.08,40.55,14.21,4.5,10.26,33481,16885,8863,9014,8517,7143,8034,17.93,7.84,17.67,34.4,6.32,67.27,11.16,28.83,8.36,34.29,11.1,43.04,16.11,3.09,68.53,64.23,78.72,67.33,67.2,73.16,4.49,21.21,33.96,46.73,60.33,1.81,2.89,3.98,5.13,77.62,3.55,5.83,3.24,2.33,2.63,2.12,45.91,6.76,60.53,2,24906,88.53,40.58,6.05,39.57,1974,7.47,0.49,72600,346,410,27.3,22.6,12.6,478,60,8.51,60.91,36.25,68.16,87.35,225.6,2063.8,5.04,7.37,53.98,309.75,228.68,1683.8,7100.74,867.9,121.51,599.78,9773.95,2,0,1,0,0
"OldBridgetownship","NJ",4,56475,2.83,3.35,89.44,6.14,5.01,12.59,26.78,12.12,8.07,97.18,47482,87.56,0.68,47.69,19.49,3.27,14.19,52927,19122,17186,15740,16397,17139,14001,3.47,5.02,16.79,24.22,4.49,70.08,16.21,18.78,12.73,28.83,6.05,29.04,9.14,3.24,84.91,82.93,93.5,80.75,50.35,63.56,1.2,12.89,20.27,27.6,35.79,1.52,2.38,3.25,4.21,84.29,1.68,4.47,3.5,2.81,3.06,2.29,73.82,2.31,45.56,3,1132,94.64,67.89,1.41,49.73,1966,0.89,0.26,159800,577,621,24.3,24.7,15.4,0,0,11.76,48.84,59.15,73.06,83.7,39.4,1434,13.8,1.7,5.1,50.98,83.28,540.44,1638.31,446.97,33.99,141.06,2659.71,3,0,0,1,0
"Hannibalcity","MO",4,18004,2.54,6.34,92.68,0.44,0.48,13.68,24.53,11.65,15.89,0,20095,68.17,1.11,37.43,37.25,11.13,17.75,25589,10354,6041,6611,12282,2152,7310,19.21,12.73,31.64,13.94,9.47,54.03,24.26,24.9,20.78,21.67,10.34,23.84,12.44,3.07,74.24,70.95,80.5,81.43,64.99,69.7,2.46,37.41,37.41,37.41,37.41,0.31,0.31,0.31,0.31,97.57,0.24,4.57,3.07,2.45,2.56,2.22,69.96,2.42,55.09,2,802,89.84,66.85,4.49,61.97,1951,7.01,0.97,32200,188,249,23.3,14.1,12.1,0,0,0.82,75.14,53.07,81.05,91.17,11.7,1534.6,0.54,0,49.29,38.33,569.52,1188.32,4736.87,169.76,54.76,657.14,6149.71,1,1,0,0,0
"Worcestercity","MA",4,169759,2.66,4.52,87.08,2.81,9.58,16.02,30.98,17.13,14.03,100,28955,72.26,0.6,36.73,31.3,12.78,17.29,36261,14282,9120,6107,8681,5145,5605,15.3,10.96,27.09,21.05,8.27,56,18.56,30.55,13.73,26.68,8.93,41.92,12.3,3.09,62.7,59.7,67.72,64.44,51.65,61.95,6.24,15.78,25.28,33.66,41.66,1.4,2.24,2.99,3.7,80.05,3.59,5.33,3.42,2.46,2.65,2.32,46.64,3.3,53.88,2,5452,92.14,43.29,3.14,38.99,1941,4.09,0.36,128900,451,527,26.9,21.2,13.7,413,84,8.88,70.02,52.72,82.3,87.36,38.9,4362.9,4.23,7.22,46.3,377.65,885.14,2047.03,3139.7,1017.5,153.96,1316.31,6358.19,3,0,0,1,0
"Greenwoodcity","SC",4,20807,2.57,43.14,56.11,0.41,0.52,17.23,30.4,17.51,14.83,0,18683,70.16,0.58,25.42,34.51,11.17,15.44,23415,12735,5858,18791,7182,7381,7440,22.9,19,43.05,13.75,7.69,54.49,35.5,19.47,28.35,18.77,11.87,35.15,13.7,3.05,53.96,46.13,52.9,58.65,70.14,73.51,9.7,8.84,22.09,31.33,38.15,0.11,0.26,0.37,0.46,96.5,0.39,5.36,3.48,2.4,2.32,2.47,47.21,4.79,58.31,2,711,91.93,48.8,11.53,52.88,1958,15.5,0.55,45200,205,296,25.1,17.3,12.7,9,3,1.2,82.23,50.91,81.66,92.46,13.1,1592.2,0.1,21.53,81.83,271.33,2510.87,1322.19,4358.5,284.25,12.92,2885.56,5977.86,2,0,1,0,0
"Snydercity","TX",4,12195,2.77,4.18,74.12,0.22,27.56,15.69,26.13,12.74,12.43,0,23497,72.51,1.89,33.14,28.36,6.72,14.12,28070,12232,5306,5764,4996,4837,5959,18.61,15.22,36.01,10.85,7.89,54.69,6.07,24.61,14.56,20.13,7.3,22.83,10.44,3.24,80.31,74.99,80.37,75.9,52.36,59.71,1.9,13.9,21.15,34.14,41.69,0.38,0.57,0.93,1.13,76.78,3.43,6.38,4.76,2.7,2.71,2.67,71.36,7.06,50.91,2,823,84.27,71.05,3.04,53.95,1958,9.48,0.63,37100,234,339,21.8,19.7,13.7,0,0,2.71,83.53,52.41,78.51,96.25,8.1,1504.8,0.28,0,24.22,0,726.51,524.7,1977.72,32.29,8.07,750.73,2542.78,2,0,1,0,0
"TarponSpringscity","FL",4,17906,2.42,8.04,90.62,0.69,1.8,11.58,20.95,10,21.35,100,25380,64.78,0.35,45.08,42.4,5.31,23.86,30490,14492,4777,6615,4721,12017,11631,10.82,8.74,25.82,15.15,6.91,48.87,9.35,22.66,9.51,25.66,10.78,22.29,12.05,2.86,71.49,66.37,76.15,76.61,58.05,65.91,2.55,6.6,10.22,12.11,17.45,0.7,1.09,1.29,1.86,82.44,2.09,3.53,2.45,2.37,2.4,2.29,72.47,2.57,62.52,2,1718,81.15,71.49,0.47,31.61,1976,5.45,0.29,80700,355,424,29.5,25.3,12.7,5,0,10.66,25.03,48.4,70.72,78.23,9,1990.4,0.67,5.08,45.73,162.61,772.4,1006.15,2871.08,142.28,0,985.82,4019.51,2,0,1,0,0
